OTU_ID,1AA,1AB,1AC,1AD,1AE,1AGA,1AGB,1AGC,1AGD,1AGE,1EA,1EB,1EC,1ED,1EE,1LGA,1LGE,1MA,1NA,1NB,1NC,1ND,1NE,1RA,1RB,1RC,1RD,1RE,2AAF,2ABF,2ABM,2ACF,2ADF,2AEF,2AEM,2AGAF,2AGAM,2AGBF,2AGBM,2AGCF,2AGCM,2AGDF,2AGDM,2AGEF,2AGEM,2EA,2EB,2EC,2ED,2LGB,2LGC,2LGD,2MA,2MB,2MC,2ME,2NA,2NB,2NC,2ND,2NE,Consensus Lineage
0,6,19,21,6,12,27,46,7,9,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,33,15,58,24,40,14,0,43,21,24,49,37,13,16,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Bacteria; p__Tenericutes; c__Mollicutes; o__Entomoplasmatales; f__; g__; s__
1,13,25,19,17,10,18,28,12,34,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,2,1,2,2,0,0,2,3,3,6,1,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,k__Bacteria; p__Tenericutes; c__Mollicutes; o__Entomoplasmatales; f__; g__; s__
2,1,0,1,1,0,0,0,1,0,0,21,7,2,0,0,38,35,2,4,1,7,3,5,9,2,0,0,0,1,4,1,0,2,0,1,0,0,0,0,1,0,0,0,2,0,6,1,0,3,51,82,2,1,1,1,8,10,0,4,1,1,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales
3,0,0,1,1,0,0,0,4,0,2,14,1,0,2,1,0,0,26,2,10,14,9,13,14,36,19,20,64,1,2,0,4,0,3,2,0,0,0,0,0,0,0,0,0,0,24,18,4,4,0,0,0,4,11,10,9,23,11,10,5,4,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Acinetobacter; s__
4,0,1,61,5,12,0,0,0,184,8,13,1218,74,1,324,0,0,324,2192,826,2971,1228,2153,3025,6,2,2,0,16,28,13,24,2,25,12,2,0,0,49,7,2,2,26,314,7,200,264,90,136,0,1,1,386,265,2768,1191,1172,767,1802,985,537,k__Bacteria; p__Tenericutes; c__Mollicutes; o__Acholeplasmatales; f__Acholeplasmataceae; g__Acholeplasma; s__
5,16,315,26,0,1,0,16,60,354,385,2,0,2,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae
6,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,2,1,0,0,3,0,2,0,0,4,0,0,0,505,597,428,731,483,107,1844,508,111,755,0,175,0,8929,18,9681,9365,168,36,38,5,5,12,7,34,30,134,24,28,15,61,16,5,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae; g__Dysgonomonas; s__
7,0,2,2,0,0,0,0,14,2,0,21,13,1,1,1,1,2,9,7,15,26,8,13,30,0,0,0,0,2,0,0,0,0,1,0,8,0,3,1,3,0,1,0,4,2,7,11,2,1,1,6,2,2,0,0,11,15,2,1,0,3,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae
8,11,0,42,3,3,2,0,63,3,32,27,13,5,0,7,0,0,38,34,72,91,44,41,48,31,60,42,60,5,23,5,10,3,13,2,34,3,19,8,34,1,7,0,22,0,17,17,10,2,0,0,1,35,31,43,38,39,30,52,21,22,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Acinetobacter
9,6,13,1168,18,34,0,0,7092,54,502,665,303,626,105,86,39,25,260,125,103,89,38,243,252,659,918,362,453,24,106,205,30,28,20,44,5040,0,3161,3222,2480,8,2259,12,1041,55,167,177,51,65,36,22,47,67,79,273,190,225,40,124,59,66,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales
